TEE[0-9],Layer[10],classifier
1.695373,0.000608,1.701421
1.700397,0.000608,1.706414
1.706925,0.000640,1.712109
1.714062,0.000672,1.718958
1.716046,0.000480,1.721838
1.729550,0.000737,1.734671
1.722862,0.000512,1.728014
1.736655,0.000608,1.743055
1.749552,0.000544,1.754064
1.774065,0.000640,1.780689
1.744944,0.000672,1.750832
1.781329,0.000672,1.787346
1.711534,0.000608,1.717230
1.782609,0.000864,1.789393
1.767600,0.000608,1.773137
1.801106,0.000768,1.808211
1.757264,0.000640,1.762896
1.785329,0.000672,1.791473
1.758928,0.000640,1.764624
1.772241,0.000640,1.779249
1.743951,0.000672,1.749775
1.770512,0.000737,1.776241
1.766192,0.000576,1.772304
1.756400,0.000768,1.762064
1.746671,0.000512,1.752687
1.797457,0.000544,1.802994
1.746415,0.000832,1.752367
1.734895,0.000768,1.740143
1.760336,0.000672,1.766096
1.736175,0.000768,1.742479
1.722606,0.000608,1.727631
1.762256,0.000800,1.768272
1.742127,0.000704,1.747951
1.779185,0.000576,1.784401
1.759056,0.000736,1.765264
1.740463,0.000672,1.745615
1.741455,0.000736,1.747440
1.757040,0.000640,1.762768
1.748111,0.000673,1.753296
1.775441,0.000704,1.780881
1.745040,0.000640,1.751024
1.775664,0.000800,1.783505
1.753424,0.000704,1.759888
1.776945,0.000800,1.783569
1.753904,0.000704,1.759120
1.778097,0.000704,1.783729
1.739375,0.000672,1.744879
1.786962,0.000672,1.792018
1.750896,0.000736,1.757296
1.793362,0.000704,1.799410
1.730574,0.000704,1.735887
1.744783,0.000672,1.750159
1.726255,0.000704,1.732175
1.742287,0.000736,1.748303
1.763312,0.000736,1.770480
1.798737,0.000736,1.805778
1.716782,0.000736,1.722926
1.706029,0.000800,1.712238
1.720686,0.000768,1.726862
1.786961,0.000704,1.792401
1.759120,0.000736,1.764496
1.768592,0.000608,1.774256
1.712781,0.000673,1.718350
1.760719,0.000608,1.765872
1.730095,0.000608,1.736175
1.768880,0.000640,1.774704
1.696397,0.000704,1.701613
1.716238,0.000672,1.722126
1.740175,0.000704,1.746544
1.720174,0.000544,1.725966
1.708174,0.000768,1.714158
1.723022,0.000704,1.729518
1.738735,0.000672,1.744527
1.761232,0.000736,1.769521
1.766544,0.000672,1.774608
1.816594,0.001281,1.826259
1.774833,0.001088,1.781329
1.738447,0.000640,1.743951
1.778545,0.000608,1.785233
1.780241,0.000672,1.786417
1.767760,0.000640,1.773200
1.793777,0.000672,1.799474
1.752303,0.000640,1.758544
1.805618,0.000640,1.811442
1.753871,0.000672,1.760272
1.792433,0.000704,1.797682
1.752239,0.000896,1.758863
1.795153,0.000768,1.800977
1.766288,0.000576,1.772144
1.770577,0.000608,1.776369
1.734447,0.000608,1.739855
1.789617,0.000672,1.796081
1.746511,0.000608,1.752079
1.810098,0.000640,1.815827
1.722799,0.000608,1.729135
1.783761,0.000704,1.789745
1.750863,0.000704,1.756432
1.770352,0.000672,1.775504
1.748527,0.000704,1.754992
1.768880,0.000704,1.775248
1.756431,0.000736,1.762512
1.786321,0.000704,1.791601
1.740783,0.000704,1.746639
1.796690,0.000800,1.802898
1.757104,0.000800,1.763440
1.774736,0.000672,1.780496
1.735599,0.000640,1.741647
1.771409,0.000640,1.777393
1.732079,0.000640,1.737615
1.785425,0.000672,1.790865
1.738127,0.000704,1.743343
1.760847,0.000640,1.766736
1.757648,0.000640,1.762320
1.792785,0.000768,1.798193
1.710477,0.000640,1.716333
1.758896,0.000768,1.764464
1.756143,0.000640,1.761456
1.771312,0.000608,1.777296
1.766416,0.000704,1.772529
1.755216,0.000672,1.761488
1.741231,0.000640,1.746447
1.783345,0.000768,1.789457
1.764944,0.000576,1.769776
1.780721,0.000672,1.786481
1.749680,0.000672,1.756112
1.793714,0.000704,1.799538
1.745455,0.000608,1.750671
