Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-8],Layer[9],Layer[10],classifier
0.417872,0.017505,0.205128,0.005024,0.250218,0.001408,0.000416,0.905251
0.418032,0.017569,0.207080,0.005056,0.273675,0.001376,0.000352,0.930660
0.417328,0.017857,0.203400,0.005088,0.255242,0.001472,0.000384,0.908227
0.417521,0.017985,0.202375,0.004865,0.250121,0.001504,0.000384,0.902052
0.416336,0.017504,0.202792,0.004896,0.259563,0.001440,0.000320,0.910436
0.436017,0.017600,0.203592,0.005024,0.254602,0.001505,0.000352,0.926853
0.416912,0.017569,0.202376,0.004896,0.257482,0.001569,0.000576,0.910244
0.417072,0.017569,0.202248,0.004896,0.255754,0.001312,0.000608,0.907491
0.416336,0.017825,0.202120,0.005024,0.287659,0.001505,0.000352,0.938501
0.416176,0.017696,0.202600,0.004832,0.259691,0.001408,0.000352,0.910340
0.416496,0.017889,0.202248,0.005056,0.249386,0.001408,0.000416,0.900515
0.416113,0.017761,0.202343,0.004897,0.255530,0.001376,0.000384,0.905860
0.415888,0.017440,0.202088,0.005024,0.254666,0.001280,0.000384,0.904131
0.415889,0.017729,0.202247,0.004768,0.262698,0.001376,0.000384,0.912132
0.416176,0.017217,0.201960,0.004800,0.261066,0.001280,0.000384,0.910115
0.416304,0.017601,0.219944,0.005409,0.244137,0.001216,0.000416,0.912675
0.416241,0.017665,0.202664,0.004800,0.254506,0.001440,0.000416,0.906180
0.416240,0.017505,0.202152,0.005056,0.246794,0.001472,0.000352,0.897411
0.415984,0.017825,0.201960,0.005024,0.247210,0.001280,0.000352,0.896835
0.416272,0.017505,0.202248,0.004800,0.259626,0.001248,0.000352,0.909219
0.415888,0.017473,0.202312,0.004800,0.259530,0.001280,0.000352,0.908355
0.416176,0.017729,0.203336,0.004864,0.248394,0.001376,0.000384,0.899043
0.416304,0.017441,0.218377,0.005472,0.252394,0.001248,0.000384,0.918276
0.415504,0.017505,0.202024,0.004800,0.236521,0.001216,0.000416,0.884482
0.417361,0.017888,0.202600,0.004865,0.274314,0.001376,0.000608,0.926436
0.416528,0.017664,0.202312,0.005088,0.236106,0.001504,0.000384,0.887459
0.416465,0.017441,0.202215,0.005025,0.257034,0.001312,0.000384,0.909028
0.415697,0.017664,0.202600,0.004993,0.263530,0.001440,0.000384,0.914308
0.416400,0.017824,0.202312,0.004896,0.257802,0.001120,0.000416,0.907972
0.435025,0.017601,0.202568,0.005152,0.237417,0.001184,0.000352,0.907523
0.416048,0.017729,0.202216,0.004800,0.252746,0.001280,0.000608,0.903075
0.414896,0.017921,0.201704,0.005248,0.270027,0.001440,0.000416,0.918692
0.416400,0.017537,0.202056,0.004800,0.247498,0.001312,0.000384,0.896707
0.415888,0.017793,0.201576,0.004832,0.242889,0.001376,0.000352,0.891682
0.418385,0.017505,0.203816,0.005056,0.241545,0.001280,0.000384,0.894467
0.415888,0.017889,0.201992,0.005024,0.239785,0.001281,0.000320,0.890947
0.417104,0.017761,0.218632,0.005537,0.251465,0.001312,0.000576,0.920612
0.417777,0.017472,0.203720,0.005025,0.265322,0.001504,0.000576,0.919492
0.416849,0.017600,0.202696,0.005024,0.248426,0.001536,0.000608,0.899779
0.417553,0.017889,0.202504,0.004864,0.257770,0.001408,0.000384,0.910436
0.415024,0.017761,0.202120,0.005184,0.254986,0.001472,0.000640,0.904323
0.416176,0.017473,0.201640,0.004864,0.259018,0.001376,0.000576,0.908868
0.416912,0.017665,0.202472,0.004864,0.247529,0.001280,0.000544,0.897955
0.416208,0.039778,0.203112,0.005280,0.249098,0.001280,0.000416,0.921860
0.416688,0.017633,0.201960,0.004832,0.254858,0.001408,0.000576,0.905635
0.415857,0.017953,0.202055,0.004801,0.243849,0.001408,0.000416,0.894979
