TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.235676,0.203343,0.005057,0.050692,0.000544,0.014209,0.000384,0.001376,0.001024,0.000384,1.520177
1.240604,0.203151,0.005056,0.048932,0.000576,0.013921,0.000416,0.001440,0.000960,0.000384,1.522865
1.243453,0.203887,0.005089,0.048835,0.000608,0.014113,0.000352,0.001345,0.000960,0.000352,1.526130
1.199161,0.204495,0.005152,0.047972,0.000640,0.013569,0.000384,0.001408,0.001024,0.000384,1.481422
1.248733,0.204271,0.005121,0.064421,0.000736,0.013569,0.000352,0.001440,0.001024,0.000416,1.549907
1.217147,0.203568,0.005056,0.047588,0.000608,0.013569,0.000384,0.001376,0.001056,0.000384,1.498640
1.196057,0.204207,0.005089,0.047043,0.000608,0.013441,0.000416,0.001408,0.000960,0.000352,1.477742
1.257438,0.203983,0.005057,0.047299,0.000608,0.013633,0.000544,0.001408,0.001345,0.000352,1.540307
1.205658,0.203856,0.005056,0.047364,0.000768,0.013825,0.000352,0.001408,0.000992,0.000416,1.487919
1.257406,0.203983,0.009377,0.047363,0.000800,0.013858,0.000384,0.001376,0.000992,0.000352,1.543411
1.213914,0.203503,0.005280,0.047140,0.000800,0.013665,0.000384,0.001408,0.000992,0.000384,1.495407
1.210971,0.203951,0.005184,0.047172,0.000800,0.013601,0.000384,0.001408,0.000992,0.000384,1.492816
1.198330,0.204463,0.005121,0.046915,0.000576,0.013409,0.000384,0.001408,0.001024,0.000449,1.480239
1.199002,0.203951,0.005089,0.047267,0.000864,0.013473,0.000417,0.001408,0.000960,0.000352,1.480687
1.193465,0.203759,0.005057,0.047203,0.000576,0.013697,0.000384,0.001409,0.001024,0.000352,1.475790
1.194009,0.204207,0.005345,0.047651,0.000608,0.014017,0.000352,0.001377,0.001024,0.000384,1.476910
1.251549,0.204015,0.005120,0.047140,0.000576,0.013665,0.000416,0.001408,0.000992,0.000384,1.533842
