Layer[0],Layer[1],Layer[2],TEE[3-10],classifier
0.416145,0.031905,0.202888,0.205224,0.924549
0.415793,0.017696,0.202536,0.208585,0.911588
0.416976,0.018241,0.202504,0.206728,0.913604
0.416112,0.017665,0.202952,0.214632,0.941989
0.416528,0.017409,0.202792,0.207720,0.912964
0.416817,0.017696,0.202120,0.203528,0.909444
0.415792,0.017441,0.203240,0.212584,0.916196
0.435313,0.017473,0.202408,0.198791,0.920452
0.415760,0.017344,0.202440,0.210088,0.912836
0.416721,0.017696,0.202632,0.184904,0.891939
0.415216,0.017601,0.202504,0.214664,0.919044
0.415568,0.017793,0.202696,0.208360,0.913091
0.415248,0.017409,0.202280,0.190279,0.891715
0.415408,0.017729,0.202408,0.212616,0.916324
0.432657,0.017985,0.202312,0.214472,0.935717
0.415536,0.017569,0.202504,0.205064,0.909860
0.415632,0.017473,0.202440,0.191623,0.893763
0.415536,0.017537,0.219017,0.202056,0.921924
0.416561,0.017696,0.202472,0.193832,0.901284
0.416048,0.017505,0.201896,0.200008,0.904835
0.416113,0.017473,0.202120,0.199527,0.902916
0.416016,0.017441,0.203016,0.198824,0.903139
0.415761,0.017536,0.203816,0.191560,0.896131
0.415889,0.017792,0.201864,0.204616,0.908868
0.415664,0.017664,0.218569,0.202376,0.924036
0.416592,0.017569,0.202280,0.204200,0.910052
0.415984,0.017632,0.202312,0.203048,0.908292
0.416144,0.017440,0.202056,0.202248,0.905828
0.416592,0.017569,0.202344,0.201864,0.907139
0.415504,0.017697,0.202184,0.200935,0.905091
0.416240,0.017664,0.202120,0.192904,0.900515
0.433169,0.017568,0.202280,0.200424,0.921028
0.416240,0.017472,0.202408,0.196936,0.900483
0.416784,0.017825,0.202184,0.199688,0.906723
0.416145,0.017536,0.202312,0.204488,0.926597
0.416656,0.018209,0.202248,0.200296,0.905987
0.416720,0.017665,0.201960,0.193928,0.898275
0.416561,0.017856,0.202024,0.201256,0.906564
0.432305,0.017761,0.202376,0.200072,0.918980
0.416336,0.017632,0.202312,0.189672,0.893827
0.416240,0.017536,0.202152,0.174759,0.875106
0.414672,0.017409,0.202024,0.188263,0.909795
0.415728,0.017665,0.201800,0.181383,0.883586
0.415409,0.017632,0.202184,0.190696,0.892259
0.416657,0.017696,0.202120,0.188072,0.895523
0.428401,0.017761,0.202440,0.205160,0.919364
0.415824,0.017505,0.201992,0.181831,0.884738
0.415601,0.017569,0.201799,0.217033,0.917796
0.415824,0.017504,0.201832,0.214825,0.914916
0.416081,0.017376,0.201800,0.211241,0.934565
0.415696,0.017569,0.201960,0.204264,0.905219
0.416080,0.017377,0.201896,0.180327,0.880514
0.416177,0.017664,0.215625,0.179495,0.892899
0.415728,0.017409,0.201992,0.181895,0.885635
0.416048,0.017729,0.202536,0.194983,0.895427
0.415440,0.017473,0.202088,0.175943,0.888771
0.428880,0.017760,0.202344,0.173863,0.884962
0.415728,0.017729,0.202024,0.194824,0.895747
0.416049,0.017664,0.202152,0.197032,0.898532
0.415408,0.017569,0.202280,0.194568,0.893539
0.416720,0.018081,0.203208,0.204840,0.911620
0.416368,0.017729,0.202600,0.212904,0.918659
0.416656,0.017569,0.203400,0.213832,0.920548
0.432433,0.017601,0.202120,0.206440,0.925860
0.420817,0.017857,0.205352,0.237865,0.956806
0.417968,0.017793,0.203912,0.195655,0.904963
0.415984,0.036226,0.202536,0.216008,0.939685
0.416592,0.017633,0.202696,0.211304,0.916644
0.416689,0.017440,0.202632,0.202984,0.908676
0.418288,0.017504,0.202536,0.198856,0.927364
