Layer[0],Layer[1],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.417233,0.017633,0.749501,0.003264,0.001088,0.000320,1.196079
0.424721,0.017697,0.735997,0.002528,0.001024,0.000320,1.188143
0.421457,0.017665,0.741469,0.002400,0.001120,0.000384,1.190799
0.432817,0.017824,0.756606,0.003040,0.001216,0.000416,1.219696
0.420561,0.017729,0.742109,0.002528,0.001056,0.000384,1.190671
0.420368,0.017504,0.749662,0.002496,0.001152,0.000384,1.197967
0.423569,0.017569,0.728476,0.002337,0.001152,0.000384,1.180079
0.422193,0.017953,0.748797,0.002624,0.001152,0.000352,1.200047
0.421137,0.017665,0.792031,0.002656,0.001376,0.000416,1.241937
0.420528,0.017889,0.738589,0.002720,0.001344,0.000352,1.187630
0.420401,0.017793,0.740477,0.003168,0.001120,0.000448,1.190735
0.423472,0.017665,0.765918,0.002784,0.001120,0.000320,1.218159
0.415953,0.017504,0.747390,0.002688,0.001120,0.000384,1.191599
0.417136,0.017665,0.747869,0.003008,0.001089,0.000384,1.194863
