Layer[0],Layer[1],Layer[2],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415760,0.017921,0.202760,0.185831,0.048930,0.000832,0.014401,0.000416,0.001568,0.001536,0.000384,0.899651
0.449906,0.017664,0.202440,0.198024,0.048514,0.000800,0.014369,0.000416,0.001824,0.000960,0.000608,0.945093
0.415792,0.017601,0.202152,0.191879,0.049314,0.000800,0.013985,0.000384,0.001536,0.001024,0.000320,0.903427
0.415216,0.017888,0.202184,0.190216,0.048834,0.000800,0.013984,0.000416,0.001632,0.001024,0.000385,0.901252
0.416656,0.017921,0.219369,0.183239,0.048802,0.000832,0.013857,0.000384,0.001600,0.001216,0.000384,0.914148
0.416496,0.017985,0.201928,0.194888,0.049346,0.000800,0.014080,0.000384,0.001536,0.001249,0.000384,0.908612
0.415632,0.017665,0.202248,0.193287,0.048770,0.000832,0.014273,0.000384,0.001568,0.001152,0.000352,0.904900
0.415536,0.017921,0.202056,0.194215,0.048898,0.000864,0.014241,0.000384,0.001568,0.001056,0.000416,0.906147
0.415600,0.017729,0.201960,0.185543,0.048770,0.000992,0.013825,0.000416,0.001472,0.001120,0.000352,0.896579
0.416017,0.017921,0.201992,0.205832,0.048450,0.000832,0.013664,0.000384,0.001472,0.001120,0.000416,0.917604
0.415633,0.017824,0.201864,0.192232,0.048866,0.000768,0.013504,0.000352,0.001505,0.001088,0.000416,0.902340
0.454705,0.017600,0.202248,0.185895,0.049057,0.000800,0.013568,0.000384,0.001536,0.001056,0.000384,0.936900
0.415664,0.017889,0.202888,0.201032,0.049026,0.000832,0.013824,0.000416,0.001600,0.001057,0.000352,0.913732
0.415857,0.017665,0.202216,0.192327,0.049058,0.000832,0.013793,0.000384,0.001568,0.001056,0.000384,0.903876
0.416816,0.017601,0.202280,0.195591,0.069379,0.001088,0.013569,0.000448,0.001568,0.001056,0.000384,0.929604
0.415664,0.017729,0.202696,0.192903,0.049601,0.000833,0.013536,0.000416,0.001504,0.001152,0.000384,0.905667
0.415984,0.017888,0.202504,0.194536,0.048290,0.000800,0.013632,0.000352,0.001536,0.001184,0.000352,0.906404
0.415984,0.017856,0.203048,0.196264,0.048418,0.000800,0.013472,0.000384,0.001536,0.001024,0.000576,0.907108
