Layer[0],Layer[1],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415857,0.017441,0.681915,0.048578,0.000544,0.013952,0.000384,0.001504,0.001313,0.000608,1.190288
0.415697,0.017537,0.704796,0.048290,0.000640,0.013632,0.000416,0.001536,0.001056,0.000576,1.212400
0.415728,0.017697,0.688027,0.048834,0.000576,0.013505,0.000352,0.001568,0.001216,0.000384,1.196719
0.416144,0.017729,0.671227,0.048226,0.000608,0.013408,0.000416,0.001504,0.001184,0.000832,1.180334
0.436209,0.017377,0.685691,0.048514,0.000576,0.013953,0.000448,0.001568,0.001216,0.000384,1.214544
0.416113,0.017217,0.683451,0.048418,0.000576,0.013376,0.000385,0.001504,0.001088,0.000384,1.191280
0.416753,0.017537,0.681051,0.048610,0.000608,0.013408,0.000384,0.001536,0.001024,0.000608,1.189775
0.417041,0.017824,0.684060,0.048642,0.000544,0.013472,0.000384,0.001568,0.001248,0.000384,1.194223
0.415984,0.017312,0.679131,0.048674,0.000608,0.014017,0.000416,0.001632,0.001120,0.000608,1.187855
0.415793,0.017601,0.704956,0.048482,0.000544,0.013408,0.000384,0.001536,0.001184,0.000384,1.212816
0.416016,0.017761,0.682971,0.048194,0.000576,0.013409,0.000416,0.001472,0.001216,0.000384,1.190959
0.414929,0.017473,0.686779,0.047810,0.000576,0.013441,0.000384,0.001504,0.001024,0.000384,1.192624
0.416817,0.017697,0.702428,0.048162,0.000576,0.013344,0.000384,0.001600,0.001216,0.000384,1.211184
0.415664,0.017729,0.688219,0.048066,0.000576,0.013409,0.000416,0.001504,0.001184,0.000384,1.196239
0.416432,0.017505,0.683131,0.048962,0.000608,0.013825,0.000384,0.001536,0.001152,0.000384,1.192079
0.432530,0.018080,0.684316,0.048802,0.000640,0.013632,0.000448,0.001536,0.001184,0.000384,1.209808
0.415313,0.017697,0.671386,0.048289,0.000640,0.013441,0.000384,0.001504,0.001088,0.000384,1.178255
0.418320,0.017537,0.683515,0.048994,0.000608,0.013505,0.000384,0.001536,0.001280,0.000352,1.195920
0.416048,0.018081,0.689531,0.048705,0.000577,0.013376,0.000352,0.001504,0.001088,0.000416,1.197775
0.416369,0.017505,0.675067,0.048226,0.000640,0.013568,0.000384,0.001536,0.001248,0.000416,1.183215
0.416048,0.017537,0.696508,0.048386,0.000608,0.013632,0.000416,0.001440,0.001024,0.000384,1.204975
0.415664,0.017473,0.672795,0.048610,0.000544,0.013504,0.000384,0.001440,0.001152,0.000800,1.181646
0.415761,0.017664,0.705660,0.048354,0.000576,0.013697,0.000448,0.001504,0.001024,0.000352,1.213744
0.415633,0.017505,0.713788,0.051746,0.000672,0.013441,0.000352,0.001504,0.001120,0.000352,1.224817
0.416145,0.017632,0.687100,0.048322,0.000608,0.013440,0.000384,0.001440,0.001120,0.000352,1.195023
0.416400,0.017920,0.674043,0.048546,0.000576,0.013377,0.000384,0.001440,0.001120,0.000384,1.182479
0.435858,0.017696,0.686812,0.048482,0.000576,0.013472,0.000416,0.001472,0.001088,0.000833,1.215025
0.418320,0.017696,0.658746,0.048226,0.000608,0.013505,0.000448,0.001568,0.001248,0.000384,1.170126
0.416240,0.017441,0.685883,0.047938,0.000544,0.013537,0.000416,0.001568,0.001056,0.000384,1.193039
0.416112,0.017664,0.693948,0.048546,0.000576,0.013504,0.000384,0.001504,0.001280,0.000384,1.202576
0.415888,0.017600,0.683419,0.048162,0.000544,0.013601,0.000384,0.001440,0.001184,0.000384,1.190415
0.415985,0.017633,0.698235,0.050626,0.000673,0.013440,0.000384,0.001472,0.001152,0.000384,1.208688
0.415089,0.017504,0.690108,0.050562,0.000576,0.013408,0.000352,0.001472,0.001088,0.000384,1.198960
0.415536,0.017312,0.687324,0.050402,0.000576,0.013472,0.000416,0.001504,0.001088,0.000352,1.196655
0.415089,0.017729,0.707164,0.048386,0.000608,0.013408,0.000416,0.001504,0.001152,0.000416,1.215152
0.415952,0.017697,0.675931,0.048706,0.000576,0.013568,0.000384,0.001504,0.001025,0.000416,1.183727
0.416816,0.017376,0.712605,0.048290,0.000544,0.013408,0.000384,0.001504,0.001184,0.000416,1.221008
0.436978,0.017889,0.674938,0.048706,0.000576,0.013409,0.000384,0.001504,0.001248,0.000384,1.205328
0.418609,0.017985,0.735645,0.049378,0.000800,0.014945,0.000384,0.001792,0.002624,0.000576,1.256466
0.416977,0.018016,0.691964,0.048418,0.000608,0.014240,0.000384,0.001537,0.001504,0.000576,1.202544
