Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.417745,0.017568,0.223657,0.005248,0.048194,0.000576,0.198312,0.002176,0.001184,0.000320,0.923524
0.416849,0.018176,0.202824,0.005345,0.048225,0.000609,0.194119,0.002336,0.001056,0.000352,0.898083
0.415952,0.017505,0.202120,0.005248,0.048034,0.000576,0.193416,0.002112,0.001120,0.000416,0.894243
0.421488,0.017537,0.202440,0.005088,0.047426,0.000576,0.195464,0.001920,0.001216,0.000352,0.901699
0.416432,0.017665,0.203464,0.005120,0.048482,0.000576,0.219433,0.002208,0.001152,0.000416,0.922660
0.416624,0.017345,0.202216,0.005248,0.048386,0.000576,0.216937,0.002144,0.001152,0.000416,0.919044
0.420913,0.017313,0.202279,0.004929,0.048098,0.000576,0.177607,0.002112,0.000960,0.000384,0.882339
0.438321,0.017633,0.202536,0.004832,0.047778,0.000576,0.193064,0.001984,0.001216,0.000416,0.916612
0.416464,0.017537,0.202088,0.005056,0.047714,0.000576,0.182631,0.002112,0.000960,0.000416,0.882498
0.417168,0.017761,0.202504,0.004960,0.047682,0.000576,0.182055,0.002112,0.001088,0.000384,0.884642
0.415984,0.017505,0.202472,0.004992,0.048130,0.000608,0.191815,0.002113,0.000992,0.000416,0.892419
0.416944,0.017504,0.202280,0.005248,0.047810,0.000608,0.197384,0.002080,0.001152,0.000384,0.899235
0.417072,0.017633,0.202024,0.005088,0.047618,0.000576,0.180583,0.002176,0.001216,0.000384,0.881858
0.416368,0.017761,0.202600,0.005056,0.047394,0.000544,0.184487,0.002144,0.001056,0.000448,0.885539
0.421744,0.017505,0.223529,0.005216,0.047938,0.000544,0.186695,0.002017,0.001152,0.000384,0.914884
0.420304,0.017249,0.202984,0.004960,0.047202,0.000544,0.188136,0.002112,0.001056,0.000352,0.892995
0.417201,0.017376,0.202600,0.004865,0.047777,0.000576,0.180551,0.002080,0.000960,0.000384,0.881923
0.416369,0.017568,0.202376,0.004832,0.048066,0.000576,0.185352,0.002016,0.001088,0.000384,0.886435
0.415409,0.017568,0.202696,0.004993,0.047201,0.000576,0.220840,0.002144,0.001024,0.000384,0.919172
0.416784,0.017441,0.203144,0.005216,0.048450,0.000576,0.193576,0.002080,0.001184,0.000384,0.898051
0.416752,0.017697,0.202344,0.005056,0.047746,0.000576,0.192199,0.002209,0.001120,0.000384,0.893859
0.420720,0.017665,0.220329,0.004960,0.048546,0.000608,0.192199,0.001952,0.001056,0.000384,0.916772
