Layer[0],Layer[1],Layer[2],TEE[3-9],Layer[10],classifier
0.420816,0.017857,0.221545,0.253898,0.000640,0.921188
0.415856,0.017633,0.202888,0.247978,0.000704,0.890819
0.421648,0.017793,0.202952,0.252842,0.000768,0.903459
0.415952,0.017472,0.202760,0.245866,0.000704,0.888739
0.431441,0.017665,0.202504,0.250377,0.000576,0.907427
0.420176,0.018017,0.202056,0.243850,0.000608,0.891555
0.415761,0.017536,0.201928,0.263563,0.000640,0.904228
0.420144,0.017665,0.218536,0.264203,0.000800,0.927908
0.415312,0.017633,0.202120,0.244873,0.000576,0.886370
0.420593,0.017760,0.202888,0.256362,0.000512,0.903491
0.415697,0.021185,0.202439,0.240362,0.000640,0.885219
0.432721,0.017600,0.202536,0.244330,0.000736,0.903395
0.421425,0.017536,0.202535,0.251626,0.000800,0.900611
0.416657,0.017696,0.202120,0.257098,0.000705,0.900484
0.420464,0.017857,0.202824,0.285835,0.000704,0.933220
0.415665,0.017728,0.203016,0.251722,0.000672,0.893795
0.415120,0.017537,0.202376,0.245961,0.000736,0.887746
0.421137,0.018017,0.202024,0.253514,0.000704,0.902788
0.432753,0.017441,0.201800,0.253258,0.000640,0.912324
0.415920,0.017537,0.203144,0.249098,0.000704,0.892035
0.416304,0.017409,0.202888,0.269450,0.000672,0.913123
0.416112,0.017601,0.203080,0.279307,0.000736,0.922404
0.421232,0.017505,0.202408,0.269387,0.000672,0.918116
0.416113,0.017633,0.202920,0.248105,0.000864,0.892483
0.421584,0.017985,0.201960,0.266026,0.000608,0.914147
0.435729,0.018017,0.202248,0.286379,0.000736,0.947941
0.420657,0.017472,0.202312,0.256394,0.000736,0.903363
0.415760,0.017440,0.202312,0.252746,0.000864,0.894115
0.415696,0.017697,0.202952,0.261386,0.000640,0.904899
0.415920,0.017697,0.202920,0.248617,0.000672,0.891778
0.416240,0.017537,0.202440,0.241193,0.000832,0.883682
0.415344,0.017729,0.202952,0.243113,0.000608,0.885923
0.416304,0.017697,0.215848,0.252778,0.000800,0.909571
0.415696,0.017601,0.202568,0.255530,0.000640,0.898467
0.420208,0.017889,0.203496,0.268203,0.000768,0.917284
0.416944,0.017665,0.202664,0.264426,0.000928,0.909795
0.416496,0.017793,0.202856,0.259722,0.000704,0.904259
0.420240,0.017729,0.203848,0.267051,0.000672,0.916356
0.417041,0.017696,0.203111,0.260779,0.000928,0.906852
0.436305,0.018049,0.202888,0.277834,0.000673,0.942757
0.420336,0.017473,0.202472,0.264362,0.000768,0.911939
0.420496,0.017729,0.203080,0.266890,0.000768,0.916516
0.419793,0.017952,0.203528,0.291276,0.001184,0.941253
0.416080,0.017697,0.202888,0.262058,0.000960,0.906659
0.419889,0.017409,0.202248,0.261386,0.000736,0.908868
0.420016,0.017760,0.202664,0.264779,0.000640,0.912388
0.431632,0.017792,0.202408,0.263787,0.000960,0.923556
0.415760,0.017665,0.202792,0.253578,0.000640,0.897187
0.420945,0.017504,0.202343,0.260587,0.000736,0.909700
0.420305,0.017793,0.202920,0.268650,0.000768,0.915972
0.415440,0.017665,0.203112,0.257002,0.000640,0.899907
0.419952,0.017505,0.203208,0.252586,0.000640,0.899715
0.416272,0.017441,0.202664,0.264682,0.000672,0.908675
0.432081,0.017889,0.203112,0.251946,0.000704,0.912260
0.420432,0.017473,0.203016,0.248202,0.000640,0.895555
0.421488,0.017729,0.202728,0.260842,0.000640,0.909251
0.421552,0.017537,0.220841,0.253322,0.000608,0.920548
0.421777,0.017536,0.202472,0.262155,0.000608,0.910724
