Layer[0],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415954,0.699134,0.047906,0.000608,0.013472,0.000384,0.001440,0.000928,0.000352,1.187635
0.415538,0.698973,0.047970,0.000672,0.013953,0.000352,0.001472,0.000960,0.000352,1.188178
0.416370,0.732191,0.048226,0.000640,0.013537,0.000352,0.001504,0.001088,0.000320,1.222676
0.415506,0.706910,0.048258,0.000704,0.013856,0.000416,0.001473,0.000896,0.000384,1.195379
0.416274,0.713086,0.048578,0.000608,0.013472,0.000384,0.001504,0.001088,0.000352,1.204339
0.416050,0.701694,0.048482,0.000576,0.013505,0.000416,0.001600,0.001120,0.000384,1.191539
0.415794,0.687069,0.048450,0.000608,0.013505,0.000352,0.001408,0.000992,0.000352,1.176402
0.415409,0.709150,0.048258,0.000576,0.013472,0.000416,0.001472,0.000960,0.000352,1.198195
0.415858,0.699422,0.048674,0.000640,0.013473,0.000352,0.001344,0.000928,0.000352,1.188531
0.415057,0.704734,0.047938,0.000576,0.013473,0.000384,0.001408,0.001056,0.000352,1.192338
0.432659,0.689373,0.048034,0.000640,0.013473,0.000384,0.001472,0.000960,0.000352,1.195155
0.415346,0.702493,0.047683,0.000512,0.013504,0.000352,0.001408,0.001088,0.000352,1.190194
0.415377,0.697341,0.048546,0.000608,0.013537,0.000416,0.001472,0.001152,0.000352,1.186546
0.443635,0.699678,0.048610,0.000640,0.013377,0.000352,0.001504,0.001088,0.000352,1.216372
0.415954,0.707582,0.048994,0.000640,0.013696,0.000448,0.001472,0.001152,0.000384,1.199507
0.416434,0.700734,0.064674,0.000800,0.013473,0.000608,0.001536,0.001056,0.000352,1.207059
0.415538,0.687325,0.048418,0.000608,0.013376,0.000352,0.001440,0.000928,0.000384,1.175634
0.415793,0.699070,0.048290,0.000608,0.013601,0.000384,0.001472,0.001056,0.000256,1.187730
0.414513,0.717886,0.047842,0.000640,0.013409,0.000352,0.001408,0.001056,0.000352,1.205139
0.415153,0.703326,0.047522,0.000576,0.013505,0.000352,0.001440,0.000928,0.000320,1.190994
0.415218,0.703005,0.047458,0.000640,0.013504,0.000384,0.001408,0.000960,0.000352,1.190034
0.416945,0.723679,0.047458,0.000576,0.013441,0.000352,0.001472,0.000992,0.000352,1.213075
0.415250,0.705182,0.050082,0.000672,0.013537,0.000384,0.001536,0.001024,0.000352,1.197043
0.416113,0.701790,0.048066,0.000640,0.013473,0.000384,0.001440,0.000928,0.000320,1.190226
0.432626,0.725502,0.050146,0.000608,0.013601,0.000384,0.001472,0.001088,0.000384,1.234516
0.417330,0.701598,0.048002,0.000672,0.013472,0.000384,0.001472,0.000960,0.000384,1.191858
0.415889,0.685149,0.048642,0.000576,0.013408,0.000352,0.001504,0.000960,0.000416,1.174321
0.415378,0.697405,0.049603,0.000608,0.013440,0.000416,0.001408,0.001120,0.000384,1.187602
0.415890,0.735359,0.048738,0.000672,0.013536,0.000448,0.001536,0.000960,0.000384,1.225460
0.415793,0.745216,0.048002,0.000640,0.013473,0.000384,0.001504,0.000960,0.000416,1.234196
0.416433,0.700446,0.048642,0.000608,0.013441,0.000352,0.001568,0.001024,0.000384,1.190706
