Layer[0],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.420113,0.786912,0.002304,0.001120,0.000320,1.218065
0.419825,0.831074,0.002464,0.001088,0.000384,1.262227
0.415825,0.768767,0.002464,0.001120,0.000384,1.195344
0.426289,0.762559,0.002496,0.001216,0.000384,1.199856
0.433329,0.783488,0.002848,0.001120,0.000385,1.227602
0.420241,0.795808,0.002944,0.000992,0.000416,1.226898
0.419729,0.790272,0.002976,0.001152,0.000416,1.221426
0.420433,0.809281,0.003040,0.001120,0.000352,1.239826
0.421841,0.794433,0.002592,0.001440,0.000384,1.228402
0.418065,0.812641,0.003456,0.001248,0.000384,1.244370
0.421873,0.784096,0.003936,0.001312,0.000384,1.219921
0.420849,0.798144,0.003232,0.001152,0.000416,1.232530
0.438290,0.809825,0.003200,0.001184,0.000384,1.259763
0.421553,0.776991,0.002400,0.001056,0.000384,1.209393
0.417009,0.813697,0.003200,0.001216,0.000352,1.242290
0.416945,0.821058,0.002624,0.001152,0.000352,1.248531
0.415729,0.783071,0.002432,0.001056,0.000416,1.209393
0.420305,0.785151,0.003168,0.001056,0.000352,1.216882
0.420433,0.775775,0.002560,0.001280,0.000352,1.207217
0.420274,0.764319,0.003200,0.001120,0.000384,1.197009
0.415729,0.799552,0.003360,0.001121,0.000352,1.226962
0.420209,0.785952,0.002592,0.001056,0.000384,1.217777
0.421425,0.783616,0.002464,0.001088,0.000352,1.215313
0.441778,0.782080,0.002592,0.001184,0.000352,1.234674
0.421553,0.781600,0.002400,0.001088,0.000320,1.212945
0.419697,0.799552,0.002688,0.001024,0.000384,1.230865
0.416657,0.777696,0.003104,0.001152,0.000352,1.205777
0.415505,0.774975,0.002464,0.001248,0.000416,1.201552
0.421105,0.836706,0.003456,0.001376,0.000384,1.270963
0.420401,0.776959,0.003073,0.001120,0.000416,1.209809
0.416753,0.774879,0.002528,0.001120,0.000352,1.202449
0.436338,0.782112,0.002272,0.001184,0.000416,1.229938
0.420113,0.779103,0.003073,0.001216,0.000352,1.211249
0.420177,0.784288,0.003232,0.001216,0.000352,1.216273
0.420081,0.799265,0.002496,0.001280,0.000352,1.230354
0.415760,0.784863,0.002784,0.001088,0.000352,1.212849
0.420305,0.778047,0.003328,0.001248,0.000384,1.209649
0.415729,0.786432,0.004416,0.001152,0.000320,1.214897
0.416337,0.770432,0.002368,0.001120,0.000352,1.196433
0.416017,0.799104,0.003104,0.001216,0.000352,1.226961
0.415696,0.811489,0.002337,0.001280,0.000320,1.237650
0.420561,0.808864,0.002496,0.001153,0.000352,1.239603
0.433713,0.783423,0.002496,0.001121,0.000384,1.227442
0.420689,0.794272,0.002528,0.001120,0.000384,1.225522
0.419953,0.766335,0.002976,0.001216,0.000352,1.197808
0.421297,0.761119,0.003296,0.001216,0.000384,1.193841
