Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-9],Layer[10],classifier
0.432529,0.017633,0.202408,0.005280,0.048258,0.000608,0.013568,0.000352,0.001472,0.179303,0.000865,0.911044
0.415664,0.017601,0.202952,0.005344,0.047842,0.000576,0.013505,0.000416,0.001504,0.176327,0.001024,0.890947
0.416433,0.017729,0.202247,0.004769,0.049954,0.000640,0.013568,0.000352,0.001376,0.181895,0.000768,0.898244
0.415921,0.017920,0.224073,0.005312,0.048674,0.000576,0.013569,0.000352,0.001664,0.183175,0.000768,0.920900
0.416624,0.017633,0.204328,0.005376,0.048290,0.000608,0.013825,0.000384,0.001504,0.187271,0.001056,0.905827
0.415664,0.017472,0.202760,0.005216,0.048130,0.000608,0.014081,0.000384,0.001440,0.181799,0.000800,0.897507
0.416817,0.017249,0.202343,0.005313,0.048066,0.000608,0.014272,0.000416,0.001408,0.181703,0.001057,0.898212
0.433105,0.017409,0.202792,0.004992,0.049570,0.000608,0.013729,0.000352,0.001440,0.173734,0.000864,0.907268
0.417233,0.017281,0.202567,0.005057,0.048098,0.000608,0.013504,0.000352,0.001472,0.176743,0.000768,0.891971
0.416880,0.017409,0.201960,0.005312,0.048290,0.000608,0.013505,0.000384,0.001472,0.165158,0.001024,0.880322
0.416913,0.017408,0.223017,0.005088,0.047650,0.000608,0.013441,0.000416,0.001504,0.178695,0.000864,0.915524
0.416240,0.017505,0.202408,0.004800,0.047266,0.000608,0.013472,0.000384,0.001473,0.173126,0.000800,0.886946
0.428145,0.017729,0.202312,0.004768,0.048898,0.000640,0.013441,0.000384,0.001472,0.178887,0.000928,0.906084
0.416721,0.017472,0.202504,0.004800,0.047937,0.000608,0.013665,0.000352,0.001376,0.178151,0.000800,0.892803
0.417521,0.017376,0.202408,0.005057,0.047521,0.000640,0.013408,0.000384,0.001440,0.172871,0.000928,0.888387
0.418064,0.017601,0.203016,0.005248,0.047074,0.000576,0.013440,0.000385,0.001504,0.175430,0.001056,0.892323
0.416401,0.017888,0.202343,0.004993,0.049186,0.000640,0.013824,0.000320,0.001408,0.179175,0.001056,0.895875
0.416496,0.017473,0.220072,0.005537,0.049730,0.000608,0.013440,0.000384,0.001504,0.171239,0.001088,0.906691
0.416080,0.017505,0.202056,0.005248,0.049698,0.000576,0.013856,0.000352,0.001440,0.176551,0.001088,0.892707
0.417808,0.017601,0.201960,0.004768,0.048354,0.000576,0.013440,0.000384,0.001376,0.167430,0.000960,0.882530
0.415985,0.017665,0.202055,0.005441,0.047746,0.000576,0.013536,0.000320,0.001408,0.179559,0.000928,0.893251
0.416048,0.017472,0.201864,0.004768,0.049666,0.000608,0.013953,0.000384,0.001408,0.163942,0.001025,0.879747
0.416112,0.017505,0.202376,0.004768,0.049858,0.000608,0.013569,0.000416,0.001440,0.180775,0.000960,0.896323
0.417712,0.017985,0.202152,0.004992,0.048866,0.000608,0.013473,0.000384,0.001472,0.178983,0.001056,0.896835
0.415729,0.017568,0.223017,0.005440,0.048098,0.000576,0.013889,0.000384,0.001536,0.174087,0.000928,0.910244
0.419025,0.017473,0.202087,0.004897,0.048098,0.000576,0.013792,0.000384,0.001504,0.171175,0.001120,0.889123
0.415888,0.017473,0.202408,0.004992,0.048290,0.000576,0.013568,0.000384,0.001537,0.176006,0.001217,0.890915
0.417072,0.017281,0.203336,0.004800,0.048194,0.000608,0.013377,0.000352,0.001472,0.169703,0.001120,0.885571
0.434993,0.017505,0.202056,0.005248,0.048034,0.000608,0.013504,0.000385,0.001440,0.175334,0.000864,0.908420
0.416144,0.017345,0.202312,0.004992,0.047586,0.000608,0.013440,0.000352,0.001440,0.169415,0.000992,0.883074
