Layer[0],Layer[1],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416208,0.017761,0.761854,0.000704,0.001952,0.001056,0.000320,1.206895
0.414896,0.017633,0.741565,0.000640,0.002752,0.001376,0.000385,1.185679
0.420113,0.018177,0.742941,0.000608,0.002208,0.001088,0.000352,1.192015
0.415536,0.017185,0.764190,0.000640,0.001984,0.001280,0.000352,1.207695
0.419568,0.017249,0.743037,0.000672,0.002592,0.001120,0.000384,1.190511
0.415888,0.017281,0.747037,0.000736,0.002784,0.001184,0.000352,1.191983
0.416528,0.017249,0.755134,0.000672,0.002144,0.001088,0.000352,1.199375
0.415088,0.017217,0.742237,0.000768,0.002496,0.001024,0.000416,1.185230
0.420272,0.017377,0.739581,0.000736,0.002144,0.001184,0.000352,1.189358
0.434545,0.017377,0.731997,0.000672,0.002240,0.001120,0.000384,1.194895
0.421009,0.018049,0.748701,0.000672,0.002177,0.001152,0.000352,1.198928
0.415121,0.017952,0.749470,0.000704,0.002080,0.000992,0.000352,1.194287
0.420465,0.017760,0.746430,0.000672,0.002016,0.001024,0.000352,1.196879
0.415985,0.017984,0.731677,0.000672,0.002720,0.001281,0.000448,1.178543
0.415952,0.017665,0.774334,0.000576,0.002753,0.001216,0.000384,1.220688
0.416112,0.017761,0.747805,0.000640,0.002240,0.000992,0.000352,1.193071
0.415345,0.017760,0.774527,0.000672,0.001920,0.001088,0.000384,1.218928
0.420849,0.017312,0.795072,0.000704,0.002752,0.001184,0.000352,1.245393
0.420464,0.017441,0.749662,0.000704,0.002080,0.001152,0.000352,1.199631
0.420144,0.017568,0.737213,0.000704,0.002817,0.001216,0.000352,1.187439
0.436242,0.017344,0.738494,0.000608,0.002272,0.001152,0.000384,1.203504
0.415088,0.017600,0.745694,0.000704,0.002080,0.001024,0.000320,1.190031
0.420496,0.017665,0.731293,0.000608,0.002112,0.001088,0.000352,1.180494
0.433489,0.017665,0.742109,0.000736,0.002144,0.000896,0.000320,1.204431
0.420656,0.017472,0.732221,0.000640,0.002112,0.001120,0.000384,1.181678
0.415441,0.017728,0.744926,0.000608,0.002240,0.000928,0.000352,1.207088
0.417745,0.017504,0.751582,0.000608,0.002432,0.000896,0.000384,1.197551
