label,mean,max,min,std,count
TEE[273],6.737241694000001,7.190612,6.707236,0.031514374275246594,1000
TEE[274],6.755126149,6.835783999999999,6.723108,0.024234854178266495,1000
REE[274],3.4332002569999993,4.476152,3.409012,0.04552360544693092,1000
TEE[275],6.847308849999999,6.953355999999999,6.806152,0.02555798048833557,1000
REE[275],3.458320428,4.491129,3.43634,0.0348717979627086,1000
TEE[276],6.842610828,6.932684,6.811463000000001,0.016501830712235273,1000
REE[276],3.486919637,4.645854,3.465526,0.04891773651739435,1000
REE[277],3.5099802259999997,4.574555,3.4868379999999997,0.04632122716618274,1000
TEE[277],6.924548317,7.011375,6.896522,0.015537287929130474,1000
REE[278],3.535607718,4.614397,3.5133989999999997,0.0461705828333328,1000
TEE[278],6.959915929999999,7.04568,6.915050999999999,0.026910375639335637,1000
REE[279],3.559018905,4.676095,3.5390639999999998,0.038101201587330207,1000
TEE[279],7.051993536,7.159219,7.004846000000001,0.026307588173038327,1000
TEE[280],7.031642492,7.096241,7.012142,0.014909957150916928,1000
REE[280],3.5888024429999996,4.697728,3.569817,0.03759782100208542,1000
REE[281],3.6122871210000005,4.796579,3.589882,0.039934433420131886,1000
TEE[281],7.140581289,7.291032,7.101489,0.024911405834077523,1000
TEE[282],7.162564219,7.2397979999999995,7.121169999999999,0.02680238935240733,1000
REE[282],3.6384209060000003,4.826724,3.616603,0.051197707707197546,1000
TEE[283],7.260018834,7.336025,7.209300999999999,0.024947914859408112,1000
REE[283],3.665113449,4.811364,3.643164,0.049302332232938104,1000
TEE[284],7.246824506000001,7.34857,7.217589,0.019662685932701384,1000
REE[284],3.6953364979999996,4.821604,3.6749730000000005,0.0512449245302411,1000
REE[285],3.7144888869999995,4.8435239999999995,3.6893730000000002,0.038823613829511196,1000
TEE[285],7.330829207,7.403867999999999,7.306328999999999,0.015656412016914836,1000
TEE[286],7.352185487000001,7.427932000000001,7.318457,0.01925551116985065,1000
REE[286],3.743645157,4.862054,3.725631,0.04890224864403265,1000
REE[287],3.769307226,4.935624,3.752224,0.04008403525863556,1000
TEE[287],7.429881872,7.496478,7.407036,0.01656183467129457,1000
REE[288],3.7979794279999997,4.953064,3.7756800000000004,0.03978561055089798,1000
TEE[288],7.444375055,7.539776,7.41798,0.01839725246650411,1000
TEE[289],7.533641259,7.642627,7.513791,0.01564369432634423,1000
REE[289],3.8230429939999997,4.980841000000001,3.8054410000000005,0.04016642467104611,1000
TEE[290],7.558464969000001,7.640228,7.521311999999999,0.022881239471230105,1000
REE[290],3.849305889,5.042603,3.826178,0.041446482731729,1000
REE[291],3.873847472,5.057516000000001,3.8561949999999996,0.04075281625323319,1000
TEE[291],7.652298144,7.722758,7.616387,0.021814023559791347,1000
